Date,Open,High,Low,Close,Adj Close,Volume
2010-06-07,95.800003,96.333336,91.733330,93.849998,72.447052,30922974
2010-06-14,94.233330,99.766663,93.866669,98.300003,77.350731,58537503
2010-06-21,98.900002,102.633331,97.333336,100.483330,79.068764,61172925
2010-06-28,100.333336,102.066666,97.666664,100.849998,79.357277,34645509
2010-07-05,100.800003,101.783333,99.750000,100.116669,78.780235,26439660
2010-07-12,100.666664,100.716667,98.433334,99.449997,78.255638,55657095
2010-07-19,99.133331,100.900002,88.800003,100.550003,79.121208,67094841
2010-07-26,100.666664,103.966667,99.983330,102.916664,80.983505,45035538
2010-08-02,103.033333,106.666664,101.033333,105.833336,83.278603,45193465
2010-08-09,106.000000,106.800003,101.366669,104.166664,81.967110,30509302
2010-08-16,105.066666,110.866669,104.000000,108.466667,85.350708,46340175
2010-08-23,108.000000,110.233330,105.733330,107.466667,84.563843,39267625
2010-08-30,108.666664,110.566666,105.666664,109.333336,86.032684,38463282
2010-09-06,109.900002,111.533333,107.599998,108.233330,85.167114,32573802
2010-09-13,108.900002,112.933334,107.866669,112.233330,88.314644,46452915
2010-09-20,112.666664,120.566666,112.000000,119.500000,94.032669,78800371
2010-09-27,120.266663,120.400002,114.599998,119.099998,93.717918,72632881
2010-10-04,120.000000,121.199997,113.066666,114.966667,90.465446,59319494
2010-10-11,115.900002,117.900002,112.766663,114.633331,90.203171,44989484
2010-10-18,114.666664,116.666664,111.400002,114.133331,89.809731,42014784
2010-10-25,115.500000,115.599998,110.000000,114.133331,89.809731,89163622
2010-11-01,115.000000,119.000000,113.900002,118.099998,92.931046,44656810
2010-11-08,119.599998,119.599998,114.933334,115.900002,91.199905,29216592
2010-11-15,115.599998,117.633331,112.333336,113.966667,89.678581,33759781
2010-11-22,114.166664,117.599998,110.699997,111.766663,87.947426,62459465
2010-11-29,112.000000,115.333336,109.333336,114.199997,89.862190,72941294
2010-12-06,114.000000,114.000000,110.533333,113.533333,89.337593,43096386
