Open,High,Low,Close,Adjclose,Volume
95.800003,96.333336,91.73333,93.849998,72.447052,30922974
94.23333,99.766663,93.866669,98.300003,77.350731,58537503
98.900002,102.633331,97.333336,100.48333,79.068764,61172925
100.333336,102.066666,97.666664,100.849998,79.357277,34645509
100.800003,101.783333,99.75,100.116669,78.780235,26439660
100.666664,100.716667,98.433334,99.449997,78.255638,55657095
99.133331,100.900002,88.800003,100.550003,79.121208,67094841
100.666664,103.966667,99.98333,102.916664,80.983505,45035538
103.033333,106.666664,101.033333,105.833336,83.278603,45193465
106,106.800003,101.366669,104.166664,81.96711,30509302
105.066666,110.866669,104,108.466667,85.350708,46340175
108,110.23333,105.73333,107.466667,84.563843,39267625
108.666664,110.566666,105.666664,109.333336,86.032684,38463282
109.900002,111.533333,107.599998,108.23333,85.167114,32573802
108.900002,112.933334,107.866669,112.23333,88.314644,46452915
112.666664,120.566666,112,119.5,94.032669,78800371
120.266663,120.400002,114.599998,119.099998,93.717918,72632881
120,121.199997,113.066666,114.966667,90.465446,59319494
115.900002,117.900002,112.766663,114.633331,90.203171,44989484
114.666664,116.666664,111.400002,114.133331,89.809731,42014784
115.5,115.599998,110,114.133331,89.809731,89163622
115,119,113.900002,118.099998,92.931046,44656810
119.599998,119.599998,114.933334,115.900002,91.199905,29216592
115.599998,117.633331,112.333336,113.966667,89.678581,33759781
114.166664,117.599998,110.699997,111.766663,87.947426,62459465
112,115.333336,109.333336,114.199997,89.86219,72941294
114,114,110.533333,113.533333,89.337593,43096386
113.833336,114,109.433334,112.033333,88.157272,31265846
112.166664,113.599998,110.400002,113.266663,89.127754,27974333
113.166664,117.566666,112.699997,116.433334,91.619553,61357498
117.300003,120.666664,113.73333,115,90.491699,50933434
114.800003,118.099998,112.033333,113.699997,89.46875,52276425
113.400002,118.866669,111.766663,112.599998,88.603172,62420124
113.300003,113.633331,110.400002,112.099998,88.20974,43238441
111.400002,111.933334,101.133331,102,80.262215,69608653
103.866669,105.966667,101.833336,103.400002,81.363838,56068833
103.133331,106.766663,103.066666,103.833336,81.704826,39514415
103.833336,105.900002,99.333336,104.199997,81.99334,56385061
104.033333,117.333336,102.933334,114.933334,90.43924,99847076
114.166664,115.933334,112.033333,114.23333,89.888412,37606421
114.5,115.933334,110.400002,111.966667,88.104813,43530514
112.433334,118.666664,111.666664,118.300003,93.088409,46528779
117.666664,123.300003,117.566666,121.666664,95.737595,91282866
122.300003,123.800003,120.533333,122.5,96.393333,39265938
122.73333,128.433334,122.433334,127.666664,100.458893,44735195
127.766663,129.833328,124.599998,126.766663,99.750702,47860782
126.666664,129.866669,123.400002,128.233337,100.904793,51845649
128.666672,129.333328,118.366669,122.400002,96.314651,43323434
122.633331,127.933334,121.400002,126,99.147423,32501317
126.666664,127.866669,122.5,124.366669,97.862183,78201898
124.633331,127.266663,123.566666,125.966667,99.121193,56280308
